game_id	context_id	context_name	context_weight
1	5	playing_time:very_long	1.0
1	8	gaming_mood:expert	1.0
1	9	gaming_mood:intense	1.0
1	10	gaming_mood:cooperative	1.0
1	11	gaming_mood:competitive	1.0
1	21	social_companion:friends	1.0
3	2	playing_time:short	1.0
3	11	gaming_mood:competitive	1.0
3	12	gaming_mood:thematic	1.0
3	21	social_companion:friends	1.0
11	2	playing_time:short	1.0
11	7	gaming_mood:easy-going	1.0
11	11	gaming_mood:competitive	1.0
11	20	social_companion:family	1.0
13	4	playing_time:long	1.0
13	11	gaming_mood:competitive	1.0
13	19	social_companion:children	1.0
41	1	playing_time:very_short	1.0
41	7	gaming_mood:easy-going	1.0
41	9	gaming_mood:intense	1.0
41	19	social_companion:children	1.0
54	3	playing_time:moderate	1.0
54	11	gaming_mood:competitive	1.0
54	12	gaming_mood:thematic	1.0
54	21	social_companion:friends	1.0
118	2	playing_time:short	1.0
118	11	gaming_mood:competitive	1.0
118	12	gaming_mood:thematic	1.0
118	21	social_companion:friends	1.0
150	1	playing_time:very_short	1.0
150	6	gaming_mood:party	1.0
150	7	gaming_mood:easy-going	1.0
150	16	social_companion:large-group	1.0
150	19	social_companion:children	1.0
173	4	playing_time:long	1.0
173	7	gaming_mood:easy-going	1.0
173	9	gaming_mood:intense	1.0
173	12	gaming_mood:thematic	1.0
173	21	social_companion:friends	1.0
220	1	playing_time:very_short	1.0
220	7	gaming_mood:easy-going	1.0
220	11	gaming_mood:competitive	1.0
220	12	gaming_mood:thematic	1.0
220	19	social_companion:children	1.0
372	1	playing_time:very_short	1.0
372	7	gaming_mood:easy-going	1.0
372	15	social_companion:2-players	1.0
372	19	social_companion:children	1.0
432	2	playing_time:short	1.0
432	7	gaming_mood:easy-going	1.0
432	9	gaming_mood:intense	1.0
432	16	social_companion:large-group	1.0
432	19	social_companion:children	1.0
438	2	playing_time:short	1.0
438	7	gaming_mood:easy-going	1.0
438	9	gaming_mood:intense	1.0
438	10	gaming_mood:cooperative	1.0
438	12	gaming_mood:thematic	1.0
438	19	social_companion:children	1.0
478	2	playing_time:short	1.0
478	7	gaming_mood:easy-going	1.0
478	9	gaming_mood:intense	1.0
478	11	gaming_mood:competitive	1.0
478	19	social_companion:children	1.0
483	5	playing_time:very_long	1.0
483	9	gaming_mood:intense	1.0
483	11	gaming_mood:competitive	1.0
483	16	social_companion:large-group	1.0
545	2	playing_time:short	1.0
545	6	gaming_mood:party	1.0
545	7	gaming_mood:easy-going	1.0
545	21	social_companion:friends	1.0
568	2	playing_time:short	1.0
568	7	gaming_mood:easy-going	1.0
568	16	social_companion:large-group	1.0
568	19	social_companion:children	1.0
651	1	playing_time:very_short	1.0
651	7	gaming_mood:easy-going	1.0
651	19	social_companion:children	1.0
686	2	playing_time:short	1.0
686	11	gaming_mood:competitive	1.0
