game_id	context_id	context_name	context_weight
1	2	playing_time:short	0.0188679
1	3	playing_time:moderate	0.0188679
1	4	playing_time:long	0.754717
1	5	playing_time:very_long	1.0
1	6	gaming_mood:party	0.0943396
1	7	gaming_mood:easy-going	0.150943
1	8	gaming_mood:expert	0.433962
1	9	gaming_mood:intense	0.207547
1	10	gaming_mood:cooperative	0.0377358
1	11	gaming_mood:competitive	0.566038
1	12	gaming_mood:thematic	0.0188679
1	15	social_companion:2-players	0.0188679
1	20	social_companion:family	0.0188679
1	21	social_companion:friends	0.0377358
3	1	playing_time:very_short	0.378049
3	2	playing_time:short	0.0853659
3	3	playing_time:moderate	0.0121951
3	7	gaming_mood:easy-going	1.0
3	8	gaming_mood:expert	0.0853659
3	9	gaming_mood:intense	0.256098
3	11	gaming_mood:competitive	0.304878
3	13	gaming_mood:story-based	0.0121951
3	15	social_companion:2-players	0.841463
3	18	social_companion:preschoolers	0.0121951
3	19	social_companion:children	0.0853659
3	20	social_companion:family	0.0853659
11	1	playing_time:very_short	0.307692
11	2	playing_time:short	0.0461538
11	4	playing_time:long	0.0246154
11	5	playing_time:very_long	0.0123077
11	6	gaming_mood:party	0.193846
11	7	gaming_mood:easy-going	1.0
11	8	gaming_mood:expert	0.0492308
11	9	gaming_mood:intense	0.0430769
11	10	gaming_mood:cooperative	0.04
11	11	gaming_mood:competitive	0.846154
11	12	gaming_mood:thematic	0.00307692
11	14	social_companion:1-player	0.00307692
11	15	social_companion:2-players	0.458462
11	16	social_companion:large-group	0.36
11	18	social_companion:preschoolers	0.00307692
11	19	social_companion:children	0.350769
11	20	social_companion:family	0.652308
11	21	social_companion:friends	0.0246154
13	1	playing_time:very_short	0.0888889
13	2	playing_time:short	0.0555556
13	3	playing_time:moderate	0.0472222
13	4	playing_time:long	0.119444
13	5	playing_time:very_long	0.0277778
13	6	gaming_mood:party	0.0472222
13	7	gaming_mood:easy-going	1.0
13	8	gaming_mood:expert	0.0694444
13	9	gaming_mood:intense	0.0777778
13	10	gaming_mood:cooperative	0.0305556
