id	description
1	Die Macher is a game about seven sequential political races in different regions of Germany. Players are in charge of national political parties, and must manage limited resources to help their party to victory. The winning party will have the most victory points after all the regional elections. There are four different ways of scoring victory points. First, each regional election can supply one to eighty victory points, depending on the size of the region and how well your party does in it. Second, if a party wins a regional election and has some media influence in the region, then the party will receive some media-control victory points. Third, each party has a national party membership which will grow as the game progresses and this will supply a fair number of victory points. Lastly, parties score some victory points if their party platform matches the national opinions at the end of the game. The 1986 edition featured four parties from the old West Germany and supported 3-4 players. The 1997 edition supports up to five players in the re-united Germany and updated several features of the rules as well. The 2006 edition also supports up to five players and adds a shorter five-round variant and additional rules updates by the original designer.
3	Samurai is set in medieval Japan. Players compete to gain the favor of three factions: samurai, peasants, and priests, which are represented by helmet, rice paddy, and Buddha figures scattered about the board, which features the islands of Japan. The competition is waged through the use of hexagonal tiles, each of which help curry favor of one of the three factions — or all three at once! Players can make lightning-quick strikes with horseback ronin and ships or approach their conquests more methodically. As each figure (helmets, rice paddies, and Buddhas) is surrounded, it is awarded to the player who has gained the most favor with the corresponding group. Gameplay continues until all the symbols of one type have been removed from the board or four figures have been removed from play due to a tie for influence. At the end of the game, players compare captured symbols of each type, competing for majorities in each of the three types. Ties are not uncommon and are broken based on the number of other, "non-majority" symbols each player has collected. The game is part of what is sometimes called the Knizia tile-laying trilogy.
11	Bohnanza is the first in the Bohnanza family of games and has been published in several different editions. In the game, you plant, then harvest bean cards in order to earn coins. Each player starts with a hand of random bean cards, and each card has a number on it corresponding to the number of that type of beans in the deck. Unlike in most other cards games, you can't rearrange the order of cards in hand, so you must use them in the order that you've picked them up from the deck — unless you can trade them to other players, which is the heart of the game. On a turn, you must plant the first one or two cards in your hand into the "fields" in front of you. Each field can hold only one type of bean, so if you must plant a type of bean that's not in one of your fields, then you must harvest a field to make room for the new arrival. This usually isn't good! Next, you reveal two cards from the deck, and you can then trade these cards as well as any card in your hand for cards from other players. You can even make future promises for cards received right now! After all the trading is complete — and all trades on a turn must involve the active player — then you end your turn by drawing cards from the deck and placing them at the back of your hand. When you harvest beans, you receive coins based on the number of bean cards in that field and the "beanometer" for that particular type of bean. Flip over 1-4 cards from that field to transform them into coins, then place the remainder of the cards in the discard pile. When the deck runs out, shuffle the discards, playing through the deck two more times. At the end of the game, everyone can harvest their fields, then whoever has earned the most coins wins. The original German edition supports 3-5 players. The English version from Rio Grande Games comes with the first edition of the first German expansion included in a slightly oversized box. One difference in the contents, however, is that bean #22's Weinbrandbohne (Brandy Bean) was replaced by the Wachsbohne, or Wax Bean. This edition includes rules for up to seven players, like the Erweiterungs-Set, but also adapts the two-player rules of Al Cabohne in order to allow two people to play Bohnanza.
13	In CATAN (formerly The Settlers of Catan), players try to be the dominant force on the island of Catan by building settlements, cities, and roads. On each turn dice are rolled to determine what resources the island produces. Players build by spending resources (sheep, wheat, wood, brick and ore) that are depicted by these resource cards; each land type, with the exception of the unproductive desert, produces a specific resource: hills produce brick, forests produce wood, mountains produce ore, fields produce wheat, and pastures produce sheep. Setup includes randomly placing large hexagonal tiles (each showing a resource or the desert) in a honeycomb shape and surrounding them with water tiles, some of which contain ports of exchange. Number disks, which will correspond to die rolls (two 6-sided dice are used), are placed on each resource tile. Each player is given two settlements (think: houses) and roads (sticks) which are, in turn, placed on intersections and borders of the resource tiles. Players collect a hand of resource cards based on which hex tiles their last-placed house is adjacent to. A robber pawn is placed on the desert tile. A turn consists of possibly playing a development card, rolling the dice, everyone (perhaps) collecting resource cards based on the roll and position of houses (or upgraded cities—think: hotels) unless a 7 is rolled, turning in resource cards (if possible and desired) for improvements, trading cards at a port, and trading resource cards with other players. If a 7 is rolled, the active player moves the robber to a new hex tile and steals resource cards from other players who have built structures adjacent to that tile. Points are accumulated by building settlements and cities, having the longest road and the largest army (from some of the development cards), and gathering certain development cards that simply award victory points. When a player has gathered 10 points (some of which may be held in secret), he announces his total and claims the win. CATAN has won multiple awards and is one of the most popular games in recent history due to its amazing ability to appeal to experienced gamers as well as those new to the hobby. Die Siedler von Catan was originally published by KOSMOS and has gone through multiple editions. It was licensed by Mayfair and has undergone four editions as The Settlers of Catan. In 2015, it was formally renamed CATAN to better represent itself as the core and base game of the CATAN series. It has been re-published in two travel editions, portable edition and compact edition, as a special gallery edition (replaced in 2009 with a family edition), as an anniversary wooden edition, as a deluxe 3D collector's edition, in the basic Simply Catan, as a beginner version, and with an entirely new theme in Japan and Asia as Settlers of Catan: Rockman Edition. Numerous spin-offs and expansions have also been made for the game.
41	In this Sid Sackson classic, players must press their luck with dice and choose combinations tactically to close out three columns. The board has one column for each possible total of two six-sided dice, but the number of spaces in each column varies: the more probable a total, the more spaces in that column and the more rolls it takes to complete. On their turn, a player rolls four dice and arranges them in duos: 1 4 5 6 can become 1+4 and 5+6 for 5 & 11, 1+5 and 4+6 for 6 & 10, or 1+6 and 4+5 for 7 & 9. The player places or advances progress markers in the open column(s) associated with their chosen totals, then chooses whether to roll again or end their turn and replace the progress markers with markers of their color. A player can only advance three different columns in a turn and cannot advance a column which any player has closed out by reaching the end space; if a roll doesn’t result in any legal plays, the turn ends with that turn’s progress lost. A predecessor from 1974, The Great Races, exists as a paper-and-pencil game.
54	Tikal is a game of exploration within the Central American jungles in search of lost temples and the treasures within. Players send their team of explorers into the jungle, exposing more and more of the terrain. Along the way, you find temples that require further uncovering and treasures. Players attempt to score points for occupying temples and holding onto treasure. Tikal is the first game of the Mask Trilogy. Sequel: Tikal II: The Lost Temple
118	Buying and selling paintings can be a very lucrative business. Five different artists have produced a bunch of paintings, and it's the player's task to be both the buyer and the seller, hopefully making a profit in both roles. He does this by putting a painting from his hand up for auction each turn. He gets the money if some other player buys it, but must pay the bank if he buys it for himself. After each round, paintings are valued by the number of paintings of that type that were sold. The broker with the most cash after four rounds is the winner. Part of the Knizia auction trilogy.
150	This game entry refers to two nearly identical games that are not compatible with one another. Ages 6 and up. PitchCar and Carabande are dexterity games where large, wooden, puzzle-like pieces are used to construct a race track that looks very similar to a slot car track when finished. But instead of electricity, players use finger-flicks to send small pucks around the track, a la Carrom. Contents: Eight car discs One black "spacer" disc Six straightaways Ten 90-degree curves Rail pieces for straights and curves One Start/Finish line sticker One rule sheet with suggested track layouts One score pad Carabande was produced by Goldsieber and had only the single expansion with the Action Set. Both are currently out of print. It was also produced in a special "Audi" edition, titled Rennspiel-Action. In the BGG photo gallery, Carabande has yellow/orange rails.Expanded by: Carabande Action Set PitchCar is produced by Ferti. It currently has nine expansions that add "tight" curves, crossroads, small jumps, long straightaways, 45-degree curves, curved bottlenecks, loops & an adapter that will allow for mixing PitchCar and PitchCar Mini. PitchCar apparently also has two editions, where the first edition has the black laminate on the top and bottom of the track pieces, where the second edition only has the laminate on the top of the track pieces. In the BGG photo gallery, PitchCar has red rails.Expanded by: PitchCar Extension PitchCar Extension 2 PitchCar Extension 3: Special Long Straights PitchCar Extension 4: Stunt Race PitchCar Extension 5: The Cross PitchCar Extension 6: No Limit PitchCar Extension 7: The Loop PitchCar Extension: The Upsilon PitchCar Extension: The Adapter Re-implemented by: PitchCar Mini
173	Formula Dé is a fast-paced racing game in which the cars' top speeds are limited by having to end a certain number of turns in each curve of the racetrack. This can be tricky, because although players can regulate their speeds by choosing which gear to be in and each gear allows a certain range of movement, the exact amount is determined randomly. Great fun for a big group. The base game comes with: One set of dice (special d30, d20, d12, d8, d6, d4 and a normal black d20) Ten plastic cars (with interchangeable rear spoilers) One two-sided map Formula Dé Circuits 1 & 2: Monaco & Zandvoort 1 Basic rules Advanced rules Racing sheets (for 1, 2 and 3-lap races) Ten gear markers Ten dashboards Expanded by: (Ludodélire Expansions) Formule Dé Circuit № 1: Grand Prix de MONACO (included in french edition) Formule Dé Circuit № 2: FRANCE – Circuit de Nevers Magny-Cours Formule Dé Circuit № 3: GRAN PREMO D'ITALIA – Autodromo Nazionale Monza Formule Dé Circuit № 4: GROSSER PREIS VON DEUTSCHLAND – Hockenheim Ring (included in german edition) Formule Dé Circuit № 5: GRAND PRIX DE BELGIQUE – Circuit de Spa – Francorchamps Formule Dé Circuit № 6: GRANDE PREMIO DE PORTUGAL – Circuito do Estoril Formule Dé Circuit № 7: BRITISH GRAND PRIX – Silverstone Circuit (included in british edition) Formule Dé Circuit № 8: GRAN PREMIO DE ESPAÑA – Circuit de Catalunya Formule Dé Circuit № 9: GRAND PRIX DU CANADA – Circuit Gilles Villeneuve Formule Dé Circuit № 10: GRANDE PREMIO DE BRASIL – Circuito do Interlagos Formule Dé Circuit № 11: JAPAN GRAND PRIX – Suzuka Circuit Formule Dé Circuit № 12: SOUTH of AFRICA GRAND PRIX – Kyalami Circuit Formule Dé Circuit № 13: SAN MARINO – Autodromo Enzo & Dino Ferrari Formule Dé: World Championship Expanded by: (Descartes Editeur Expansions) Formula Dé Circuits 1 & 2: Monaco & Zandvoort 1 (plans were included in base game) Formula Dé Circuits 3 & 4: Zandvoort 2 & SPA-Francorchamps Formula Dé Circuits 5 & 6: Kyalami & Ferrari Autodromo Formula Dé Circuits 7 & 8: Magny-Cours & Monza Formula Dé Circuits 9 & 10: Estoril & Interlagos Formula Dé Circuits 11 & 12: Watkins Glen & Silverstone Formula Dé Circuits 13 & 14: Montreal & Long Beach Formula Dé Circuits 15 & 16: Hockenheim & Zeltweg Formula Dé Circuits 17 & 18: Buenos-Aires & Barcelona Formula Dé Circuits 19 & 20: Suzuka & Melbourne Formula Dé Circuits 21 & 22: Budapest & Nürburgring Formula Dé Circuits 23 - 26: USA Track Pack #1 Formula Dé Circuits 27 - 30: USA Track Pack #2 Formula Dé Circuits 31 & 32: Zhuhai & Sepang Formula Dé Circuit 33: 10th Anniversary Formula Dé Circuits 34 & 35: Bahrain & Shanghai Expanded by: (Asmodee Expansions) Formula D: The "Shortcut" Formula D: Circuits 1 – Sebring & Chicago Formula D: Circuits 2 – Hockenheim and Valencia Formula D: Circuits 3 – Singapore & The Docks Formula D: Circuits 4 – Grand Prix of Baltimore & Buddh Formula D: Circuits 5 – New Jersey & Sotchi Formula D: Circuits 6 – Austin & Nevada Ride Re-implemented by: Formula Dé Mini Formula D
220	In Reiner Knizia's High Society, players bid against each other to acquire the various trappings of wealth (positive-number and multiplier cards) while avoiding its pitfalls (negative number and divisor cards). While bidding, though, keep an eye on your remaining cash - at the end of the game, even though all those positive-number cards might add up to a win, the player with the least money isn't even considered for victory. In 2003 re-published by Überplay. In 2003 published with a new theme by Amigo as Einfach Tierisch. In 2006, published by University Games as Animalement Vôtre (French version) and Beestenveiling (Dutch version). In 2008, re-published by Eagle-Gryphon Games In 2018, re-published by Osprey Games
