id	name	url	year	weight	age	min_play_time	max_play_time	min_num_players	max_num_players	best_min_num_players	best_max_num_players	avg_rating	num_ratings	num_reviews	num_fans
1	Die Macher	1/die-macher	1986	4.32	14	240	240	3	5	5	5	7.61	5418	2030	237
3	Samurai	3/samurai	1998	2.49	10	30	60	2	4	3	3	7.46	15296	3839	432
11	Bohnanza	11/bohnanza	1997	1.67	13	45	45	2	7	4	5	7.04	40583	8867	886
13	Catan	13/catan	1995	2.31	10	60	120	3	4	4	4	7.13	109712	19582	5739
41	Can't Stop	41/cant-stop	1980	1.15	9	30	30	2	4	3	3	6.86	14817	3886	293
54	Tikal	54/tikal	1999	2.79	10	90	90	2	4	4	4	7.33	18678	4305	534
118	Modern Art	118/modern-art	1992	2.3	10	45	45	3	5	4	5	7.44	18426	4710	472
150	PitchCar	150/pitchcar	1995	1.13	6	30	30	2	8	6	6	7.27	10117	2640	257
173	Formula Dé	173/formula-de	1997	1.96	10	120	120	2	10	5	5	6.99	7690	2184	257
220	High Society	220/high-society	1995	1.5	10	15	30	3	5	4	5	7.1	10428	2728	228
372	Schotten Totten	372/schotten-totten	1999	1.73	8	20	20	2	2	2	2	7.33	8919	1724	188
432	6 nimmt!	432/6-nimmt	1994	1.2	8	45	45	2	10	5	6	6.93	23505	5018	386
438	Scotland Yard	438/scotland-yard	1983	1.95	10	45	45	3	6	0	0	6.51	15243	3545	343
478	Citadels	478/citadels	2000	2.05	10	20	60	2	8	5	5	7.08	50630	10006	1652
483	Diplomacy	483/diplomacy	1959	3.35	12	360	360	2	7	7	7	7.04	12526	4334	702
545	Kaleidos	545/kaleidos	1994	1.25	10	60	60	2	12	4	4	6.71	842	203	14
568	Rage	568/rage	1983	1.46	8	45	45	2	10	6	6	6.17	1816	694	28
651	Zero Down	651/zero-down	1998	1.24	8	20	20	2	5	4	4	6.46	787	164	23
686	Dr. Jekyll & Mr. Hyde	686/dr-jekyll-mr-hyde	1997	2.36	10	60	60	3	4	4	4	6.75	474	212	8
699	HeroQuest	699/heroquest	1989	2.16	14	90	90	2	5	5	5	7.16	11754	3132	1315
811	Rummikub	811/rummikub	1977	1.74	8	60	60	2	4	4	4	6.4	14783	2953	247
822	Carcassonne	822/carcassonne	2000	1.9	7	30	45	2	5	2	2	7.42	110291	19422	6165
823	The Lord of the Rings	823/lord-rings	2000	2.57	12	60	90	2	5	4	4	6.74	14858	4410	538
833	For the People	833/people	1998	3.72	12	360	360	2	2	2	2	7.77	1576	699	210
1111	Taboo	1111/taboo	1989	1.21	12	20	20	4	10	6	6	6.29	11294	2241	149
1198	SET	1198/set	1988	1.68	6	30	30	1	20	3	4	6.49	11525	2622	223
1321	Catch the Match	1321/catch-match	1995	1.0	5	15	15	2	8	0	0	6.14	186	94	3
1382	Winner's Circle	1382/winners-circle	2001	1.61	10	45	60	2	6	5	6	6.98	5238	1787	97
1403	Turn the Tide	1403/turn-tide	1997	1.52	10	30	30	3	5	4	5	6.77	4285	1130	66
1502	Hotel Tycoon	1502/hotel-tycoon	1974	1.42	8	60	60	2	4	4	4	5.49	3317	819	94
1662	Napoléon: The Waterloo Campaign, 1815	1662/napoleon-waterloo-campaign-1815	1974	2.48	12	120	120	2	3	2	3	7.36	1296	746	96
1927	Munchkin	1927/munchkin	2001	1.8	10	60	120	3	6	4	4	5.89	44232	8326	2078
2266	Gobblet	2266/gobblet	2000	1.85	7	20	20	2	2	2	2	6.6	1744	579	48
2346	DVONN	2346/dvonn	2001	2.66	9	30	30	2	2	2	2	7.45	4668	1417	168
2379	Guesstures	2379/guesstures	1990	1.18	8	10	10	4	99	6	6	5.91	1584	485	10
2381	Scattergories	2381/scattergories	1988	1.37	12	30	30	2	6	4	6	6.22	9194	1924	133
2452	Jenga	2452/jenga	1983	1.11	6	20	20	1	8	4	4	5.62	12892	2632	137
2651	Power Grid	2651/power-grid	2004	3.27	12	120	120	2	6	4	5	7.84	59184	10692	3164
2653	Survive: Escape from Atlantis!	2653/survive-escape-atlantis	1982	1.7	8	45	60	2	4	4	4	7.31	22419	4702	858
2719	Connect Four	2719/connect-four	1974	1.2	6	10	10	2	2	2	2	4.89	7596	1956	66
2767	Snail's Pace Race	2767/snails-pace-race	1985	1.01	3	10	10	2	6	3	3	5.13	657	362	10
2921	The Game of Life	2921/game-of-life	1960	1.17	8	60	60	2	6	4	4	4.31	11492	2868	227
2944	Halli Galli	2944/halli-galli	1990	1.02	6	10	10	2	6	4	5	5.78	2681	645	22
2955	Mexica	2955/mexica	2002	2.7	10	90	90	2	4	4	4	7.23	5333	1521	145
3076	Puerto Rico	3076/puerto-rico	2002	3.28	12	90	150	3	5	4	4	7.96	65965	12297	3851
3337	Double Down	3337/double-down	1993	1.06	8	30	30	2	8	5	5	5.62	621	139	3
3685	Hammer of the Scots	3685/hammer-scots	2002	2.98	12	120	180	2	2	2	2	7.55	3964	1567	216
3955	BANG!	3955/bang	2002	1.63	10	20	40	4	7	7	7	6.51	28172	6042	845
4209	Monza	4209/monza	2000	1.06	5	10	10	2	6	4	4	6.6	2078	616	48
4324	Risk: The Lord of the Rings	4324/risk-lord-rings	2002	2.28	9	120	120	2	4	4	4	5.91	4559	1146	90
4390	Carcassonne: Hunters and Gatherers	4390/carcassonne-hunters-and-gatherers	2002	1.92	8	35	35	2	5	2	3	7.12	11879	3231	246
5588	Perfection	5588/perfection	1973	1.05	4	6	6	1	99	1	1	4.35	1153	363	9
5641	Nightmare	5641/nightmare	1991	1.79	12	60	60	3	6	4	4	5.89	957	315	67
5770	Orchard	5770/orchard	1986	1.04	3	10	10	2	8	3	4	6.35	957	344	16
5782	Coloretto	5782/coloretto	2003	1.28	8	30	30	2	5	4	4	6.97	18993	4654	295
5867	10 Days in Europe	5867/10-days-europe	2002	1.34	10	20	30	2	4	2	2	6.6	1962	682	31
6249	Alhambra	6249/alhambra	2003	2.1	8	45	60	2	6	3	3	7.03	30500	6652	716
6424	Pick Up Sticks	6424/pick-sticks	1850	1.04	4	10	30	2	6	3	3	4.29	2430	622	15
6931	Katamino	6931/katamino	1992	1.8	8	10	10	1	2	1	1	6.43	915	225	21
8098	Jungle Speed	8098/jungle-speed	1997	1.14	7	10	10	2	8	5	6	6.5	12074	2320	227
8172	Coyote	8172/coyote	2003	1.2	10	20	30	3	6	5	6	6.63	1530	347	24
8924	Dancing Eggs	8924/dancing-eggs	2003	1.05	5	10	10	2	4	4	4	6.36	2271	749	31
9220	Saboteur	9220/saboteur	2004	1.32	8	30	30	3	10	7	8	6.56	27990	4947	667
9441	Ribbit	9441/ribbit	2004	1.09	5	20	20	2	5	3	4	6.78	2386	522	52
10206	Make 'nBreak	10206/make-n-break	2004	1.26	8	30	30	2	4	0	0	6.04	1144	361	12
10547	Betrayal at House on the Hill	10547/betrayal-house-hill	2004	2.38	12	60	60	3	6	5	6	7.05	40258	8419	2586
11825	Empire of the Sun	11825/empire-sun	2005	4.31	12	360	360	1	2	2	2	8.23	1602	776	370
12333	Twilight Struggle	12333/twilight-struggle	2005	3.6	13	120	180	2	2	2	2	8.28	43497	9249	4338
12589	Razzia!	12589/razzia	2004	1.96	12	45	45	2	5	3	4	6.84	1897	608	28
12616	Zingo!	12616/zingo	2002	1.03	4	5	5	2	8	4	5	5.33	459	160	3
12942	No Thanks!	12942/no-thanks	2004	1.14	8	20	20	3	7	4	5	7.06	22321	5205	385
13230	Gobblet Gobblers	13230/gobblet-gobblers	2003	1.32	5	5	5	2	2	2	2	6.28	805	301	14
13328	Chromino	13328/chromino	2001	1.24	7	30	30	1	8	3	4	5.82	491	100	11
14105	Commands & Colors: Ancients	14105/commands-colors-ancients	2006	2.69	12	60	60	2	2	2	2	7.77	8211	2692	780
14996	Ticket to Ride: Europe	14996/ticket-ride-europe	2005	1.93	8	30	60	2	5	4	4	7.54	64475	9328	2313
15512	Diamant	15512/diamant	2005	1.11	8	30	30	3	8	6	8	6.82	18357	5489	197
15817	Manila	15817/manila	2005	2.03	10	60	60	3	5	4	4	6.98	5715	1461	149
15818	Pickomino	15818/pickomino	2005	1.15	8	20	20	2	7	3	4	6.57	9616	2258	132
15878	Rummy	15878/rummy	1887	1.41	8	60	60	2	6	4	4	5.81	1595	442	34
15987	Arkham Horror	15987/arkham-horror	2005	3.58	14	120	240	1	8	4	4	7.25	37756	8643	5031
16986	Ubongo	16986/ubongo	2003	1.52	8	25	25	1	4	4	4	6.7	8376	1665	104
17025	Friday the 13th	17025/friday-13th	2005	1.19	8	30	30	3	6	4	5	6.45	3873	1308	54
17027	Sitting Ducks Gallery	17027/sitting-ducks-gallery	2005	1.1	10	20	20	3	6	6	6	6.13	1811	441	27
17329	Animal Upon Animal	17329/animal-upon-animal	2005	1.04	4	15	15	2	4	4	4	6.81	7650	2243	148
17392	Here I Stand	17392/here-i-stand	2006	4.18	12	180	360	2	6	6	6	7.91	3690	1308	500
18723	Aye, Dark Overlord! The Red Box	18723/aye-dark-overlord-red-box	2005	1.3	13	30	30	4	16	5	5	5.86	2854	723	96
18803	Black Stories	18803/black-stories	2004	1.28	12	20	20	2	15	4	6	6.02	4403	751	70
19841	Pentago	19841/pentago	2005	1.84	8	5	5	2	2	2	2	6.38	3264	810	68
20545	Rory's Story Cubes	20545/rorys-story-cubes	2005	1.12	6	20	20	1	12	2	4	6.28	3461	928	92
21050	Combat Commander: Europe	21050/combat-commander-europe	2006	3.25	12	60	180	2	2	2	2	7.94	5620	1910	856
22348	Duplik	22348/duplik	2005	1.22	12	45	45	3	10	5	6	6.98	2069	448	37
22889	Pictureka!	22889/pictureka	2006	1.12	6	30	30	2	7	4	5	5.44	1151	337	20
23658	Fiery Dragons	23658/fiery-dragons	2006	1.27	5	15	15	2	4	3	4	6.1	217	74	2
24508	Taluva	24508/taluva	2006	2.26	8	45	45	2	4	2	2	7.16	8125	2074	266
25021	Sekigahara: The Unification of Japan	25021/sekigahara-unification-japan	2011	2.79	14	180	180	2	2	2	2	8.02	4909	1335	455
25071	Munchkin Cthulhu	25071/munchkin-cthulhu	2007	1.71	10	90	90	3	6	4	5	6.21	5122	831	243
25821	The Werewolves of Miller's Hollow	25821/werewolves-millers-hollow	2001	1.32	10	30	30	8	18	11	15	6.72	10485	1952	295
26859	Kragmortha	26859/kragmortha	2007	1.41	8	30	45	2	8	5	6	5.76	1196	253	39
27225	Bananagrams	27225/bananagrams	2006	1.32	7	15	15	1	8	3	5	6.36	9601	2173	158
27627	Talisman: Revised 4th Edition	27627/talisman-revised-4th-edition	2007	2.19	13	90	90	2	6	4	4	6.52	14045	2998	1416
27710	Catan Dice Game	27710/catan-dice-game	2007	1.23	7	15	15	1	4	2	2	5.69	5654	1484	93
28023	Jamaica	28023/jamaica	2007	1.65	8	30	60	2	6	6	6	7.06	17387	3501	605
28143	Race for the Galaxy	28143/race-galaxy	2007	2.99	12	30	60	2	4	2	2	7.76	49472	10084	3506
28238	Kitty Bitty	28238/kitty-bitty	2007	1.22	4	15	15	2	6	3	3	5.68	251	127	7
29223	Marrakech	29223/marrakech	2007	1.36	6	30	30	2	4	4	4	6.68	4175	863	99
29387	Zombie Fluxx	29387/zombie-fluxx	2007	1.44	8	10	40	2	6	4	4	5.99	6341	1323	233
30549	Pandemic	30549/pandemic	2008	2.41	8	45	45	2	4	4	4	7.58	110478	17469	6823
30933	BANG! The Bullet!	30933/bang-bullet	2007	1.85	8	20	40	3	8	6	7	6.92	8182	1700	375
31260	Agricola	31260/agricola	2007	3.64	12	30	150	1	5	3	4	7.92	66690	13048	5926
34635	Stone Age	34635/stone-age	2008	2.47	10	60	90	2	4	4	4	7.55	47791	8154	2119
35677	Le Havre	35677/le-havre	2008	3.73	12	30	150	1	5	3	3	7.87	28362	5529	1639
