id	property	value
1	type	Strategy Games
1	category	Economic
1	category	Negotiation
1	category	Political
1	family	Country: Germany
1	family	Political: Elections
1	family	Series: Classic Line (Valley Games)
1	mechanism	Alliances
1	mechanism	Area Majority / Influence
1	mechanism	Auction/Bidding
1	mechanism	Dice Rolling
1	mechanism	Hand Management
1	mechanism	Simultaneous Action Selection
3	type	Strategy Games
3	category	Abstract Strategy
3	category	Medieval
3	family	Components: Map (Continental / National scale)
3	family	Country: Japan
3	family	Digital Implementations: Triqqy
3	family	Series: Euro Classics (Reiner Knizia)
3	family	Series: Tile-Laying Trilogy (Reiner Knizia)
3	family	Theme: Samurai
3	mechanism	Area Majority / Influence
3	mechanism	Hand Management
3	mechanism	Hexagon Grid
3	mechanism	Once-Per-Game Abilities
3	mechanism	Set Collection
3	mechanism	Tile Placement
11	type	Family Games
11	category	Card Game
11	category	Farming
11	category	Negotiation
11	family	Components: Multi-Use Cards
11	family	Game: Bohnanza
11	family	Series: Bean Games (Lookout)
11	mechanism	Hand Management
11	mechanism	Melding and Splaying
11	mechanism	Negotiation
11	mechanism	Set Collection
11	mechanism	Trading
13	type	Family Games
13	type	Strategy Games
13	category	Economic
13	category	Negotiation
13	family	Animals: Sheep
13	family	Components: Hexagonal Tiles
13	family	Components: Wooden pieces & boards
13	family	Game: Catan
13	family	Promotional: Promo Board Games
13	mechanism	Dice Rolling
13	mechanism	Hexagon Grid
13	mechanism	Income
13	mechanism	Modular Board
13	mechanism	Network and Route Building
13	mechanism	Race
41	type	Family Games
41	category	Dice
41	family	Digital Implementations: Board Game Arena
41	mechanism	Dice Rolling
41	mechanism	Push Your Luck
54	type	Strategy Games
54	category	Exploration
54	category	Territory Building
54	family	Country: Guatemala
54	family	Crowdfunding: Spieleschmiede
54	family	Promotional: Promo Board Games
54	family	Series: The Mask Trilogy (Kramer / Kiesling)
54	family	Theme: Archaeology / Paleontology
54	family	Theme: Tropical
54	mechanism	Action Points
54	mechanism	Area Majority / Influence
54	mechanism	Auction/Bidding
54	mechanism	Grid Movement
54	mechanism	Hexagon Grid
54	mechanism	Layering
118	type	Strategy Games
118	category	Card Game
118	category	Economic
118	family	Misc: LongPack Games
118	family	Series: Book Box (DiceTree)
118	family	Theme: Art
118	family	Theme: Painting / Paintings
118	mechanism	Auction/Bidding
118	mechanism	Auction: English
118	mechanism	Auction: Once Around
118	mechanism	Auction: Sealed Bid
118	mechanism	Auction: Turn Order Until Pass
118	mechanism	Commodity Speculation
150	type	Family Games
150	type	Party Games
150	category	Action / Dexterity
150	category	Children's Game
150	category	Party Game
150	category	Racing
150	category	Sports
150	family	Game: PitchCar
150	family	Mechanism: Finger Flicking Games
150	family	Promotional: Promo Board Games
150	family	Sports: Auto Racing
150	mechanism	Flicking
150	mechanism	Modular Board
150	mechanism	Race
173	type	Thematic Games
173	category	Racing
173	category	Sports
173	family	Cities: Monte Carlo (Monaco)
173	family	Game: Formula Dé / Formula D
173	family	Sports: Auto Racing
173	family	Sports: Formula 1
173	mechanism	Different Dice Movement
173	mechanism	Grid Movement
173	mechanism	Player Elimination
173	mechanism	Push Your Luck
173	mechanism	Race
173	mechanism	Roll / Spin and Move
220	type	Family Games
220	category	Card Game
220	family	Series: Bookshelf (Gryphon Games)
220	family	Theme: Art
220	family	Theme: Painting / Paintings
220	mechanism	Auction/Bidding
220	mechanism	Auction: Turn Order Until Pass
220	mechanism	Constrained Bidding
372	type	Family Games
372	category	Card Game
372	family	Country: Scotland
372	family	Game: Schotten-Totten
372	family	Players: Two Player Only Games
372	family	Series: Mini Games (IELLO)
372	mechanism	Card Play Conflict Resolution
372	mechanism	Hand Management
372	mechanism	Melding and Splaying
372	mechanism	Set Collection
432	type	Family Games
432	category	Card Game
432	category	Number
432	family	Animals: Cattle / Cows
432	family	Digital Implementations: Board Game Arena
432	family	Game: 6 nimmt!
432	family	Misc: Lowest Score Wins
432	family	Misc: Mensa Select
432	mechanism	Hand Management
432	mechanism	Kill Steal
432	mechanism	Score-and-Reset Game
