id	rank	position
1	Overall	328
1	Strategy 	189
3	Overall	234
3	Strategy 	171
11	Overall	478
11	Family 	121
13	Overall	439
13	Family 	134
13	Strategy 	418
41	Overall	755
41	Family 	205
54	Overall	288
54	Strategy 	212
118	Overall	224
118	Strategy 	165
150	Overall	411
150	Family 	80
150	Party 	21
220	Overall	549
220	Family 	128
372	Overall	401
372	Family 	75
432	Overall	610
432	Family 	168
438	Overall	1329
438	Family 	440
478	Overall	433
478	Family 	117
478	Strategy 	346
483	Overall	662
483	War 	255
483	Strategy 	496
545	Overall	3203
545	Party 	176
568	Overall	3758
568	Family 	1116
651	Overall	3920
651	Family 	1091
686	Overall	4186
686	Strategy 	1539
699	Overall	597
699	Thematic	192
811	Overall	1660
811	Family 	582
822	Overall	197
822	Family 	42
823	Overall	948
823	Thematic	281
833	Overall	1004
833	War 	42
1111	Overall	2030
1111	Party 	209
1198	Overall	1489
1198	Family 	499
1198	Abstract 	158
1321	Overall	9656
1321	Children's 	161
1382	Overall	905
1382	Family 	225
1403	Overall	1271
1403	Family 	349
1502	Overall	21682
1502	Family 	2285
1662	Overall	1565
1662	War 	129
1927	Overall	4880
1927	Party 	572
1927	Thematic	1155
2266	Overall	2472
2266	Abstract 	131
2346	Overall	512
2346	Abstract 	11
2379	Overall	5546
2379	Party 	405
2381	Overall	2423
2381	Party 	259
2452	Overall	10427
2452	Party 	574
2651	Overall	49
2651	Strategy 	51
2653	Overall	301
2653	Family 	59
2719	Overall	22076
2719	Abstract 	1129
2719	Children's 	836
2767	Overall	21885
2767	Children's 	766
2921	Overall	22100
2921	Family 	2366
2944	Overall	6308
2944	Party 	460
2944	Children's 	297
2955	Overall	631
2955	Strategy 	384
3076	Overall	34
3076	Strategy 	38
3337	Overall	14988
3337	Family 	2064
3337	Party 	526
3685	Overall	509
3685	War 	51
3955	Overall	1356
3955	Party 	175
4209	Overall	2188
4209	Children's 	40
4324	Overall	4535
4324	Thematic	878
4390	Overall	535
4390	Family 	125
5588	Overall	22072
5588	Children's 	865
5641	Overall	9424
5641	Party 	523
5641	Thematic	1168
5770	Overall	4002
5770	Children's 	94
5782	Overall	584
5782	Family 	149
5867	Overall	2244
5867	Family 	659
6249	Overall	498
6249	Family 	122
6249	Strategy 	363
6424	Overall	22086
6424	Children's 	873
6931	Overall	3847
6931	Abstract 	237
8098	Overall	1477
8098	Party 	142
8172	Overall	2426
8172	Party 	134
8924	Overall	2649
8924	Party 	196
8924	Children's 	55
9220	Overall	1174
9220	Family 	381
9220	Party 	124
9441	Overall	1776
9441	Family 	510
9441	Children's 	31
10206	Overall	4988
10206	Family 	1343
10206	Party 	358
10547	Overall	567
10547	Thematic	217
11825	Overall	748
11825	War 	9
12333	Overall	13
12333	War 	2
12333	Strategy 	11
12589	Overall	1783
12589	Family 	470
12589	Strategy 	911
12616	Overall	21522
12616	Children's 	618
12942	Overall	473
12942	Family 	111
13230	Overall	4877
13230	Children's 	133
13328	Overall	10687
13328	Abstract 	860
14105	Overall	171
14105	War 	21
14996	Overall	137
14996	Family 	25
15512	Overall	767
15512	Family 	214
15817	Overall	884
15817	Family 	221
15818	Overall	1303
15818	Family 	401
15878	Overall	6516
15878	Family 	1632
15987	Overall	374
15987	Thematic	124
16986	Overall	1149
16986	Family 	327
16986	Abstract 	78
17025	Overall	1999
17025	Family 	624
17027	Overall	3951
17027	Family 	1192
17329	Overall	991
17329	Children's 	17
17392	Overall	323
17392	War 	13
18723	Overall	5595
18723	Party 	458
18803	Overall	3522
18803	Party 	325
19841	Overall	2350
19841	Abstract 	174
20545	Overall	2633
20545	Family 	863
20545	Party 	255
21050	Overall	179
21050	War 	8
22348	Overall	1530
22348	Party 	71
22889	Overall	21408
22889	Family 	2259
22889	Party 	593
22889	Children's 	569
23658	Overall	9331
23658	Children's 	201
24508	Overall	566
24508	Abstract 	30
24508	Strategy 	369
25021	Overall	170
25021	War 	5
25071	Overall	2946
25071	Thematic	698
25821	Overall	1121
25821	Party 	99
26859	Overall	8590
26859	Party 	537
27225	Overall	1854
27225	Family 	652
27627	Overall	1603
27627	Thematic	485
27710	Overall	6801
27710	Family 	1727
28023	Overall	531
28023	Family 	131
28143	Overall	67
28143	Strategy 	61
28238	Overall	15227
28238	Children's 	373
29223	Overall	1474
29223	Family 	430
29387	Overall	3834
29387	Family 	1305
29387	Party 	423
30549	Overall	110
30549	Family 	18
30549	Strategy 	124
31260	Overall	39
31260	Strategy 	42
34635	Overall	130
34635	Family 	21
34635	Strategy 	118
35677	Overall	55
35677	Strategy 	49
36218	Overall	106
36218	Strategy 	110
37400	Overall	2421
37400	Family 	725
37836	Overall	996
37836	War 	41
38032	Overall	2723
38032	Family 	770
39683	Overall	330
39683	Strategy 	221
39856	Overall	308
39856	Party 	22
40834	Overall	88
40834	Strategy 	85
40990	Overall	2006
40990	Party 	130
41010	Overall	1579
41010	Children's 	33
41114	Overall	309
41114	Party 	26
41496	Overall	14546
41496	Children's 	317
41863	Overall	1761
41863	War 	433
41916	Overall	1146
41916	Family 	308
41916	Children's 	11
43570	Overall	442
43570	Strategy 	332
43578	Overall	4039
43578	Children's 	87
43868	Overall	1521
43868	Family 	457
43868	Thematic	374
54043	Overall	150
54043	Family 	28
54307	Overall	1919
54307	Family 	526
54307	Strategy 	969
56692	Overall	835
56692	Family 	210
59959	Overall	300
59959	Thematic	93
59959	Strategy 	224
62219	Overall	78
62219	Strategy 	59
62871	Overall	2214
62871	Party 	282
63268	Overall	1207
63268	Party 	114
65244	Overall	778
65244	Family 	240
65814	Overall	6999
65814	Family 	1623
65814	Children's 	190
66056	Overall	893
66056	Strategy 	597
66188	Overall	376
66188	Family 	73
66188	Strategy 	263
66589	Overall	259
66589	Strategy 	169
67239	Overall	1720
67239	Strategy 	930
67492	Overall	973
67492	War 	180
67492	Thematic	208
68425	Overall	643
68425	Strategy 	423
68448	Overall	75
68448	Family 	10
68448	Strategy 	73
69789	Overall	644
69789	Strategy 	461
70149	Overall	161
70149	Strategy 	111
70512	Overall	588
70512	Strategy 	340
72287	Overall	873
72287	Strategy 	572
73439	Overall	87
73439	Strategy 	72
77423	Overall	143
77423	Customizable	7
80771	Overall	2192
80771	Family 	654
80771	Thematic	463
83195	Overall	1185
83195	Family 	335
83330	Overall	419
83330	Thematic	121
84732	Overall	2636
84732	Family 	733
84876	Overall	15
84876	Strategy 	15
84889	Overall	2975
84889	Thematic	483
86955	Overall	3235
86955	Thematic	712
87890	Overall	628
87890	Strategy 	356
89415	Overall	3725
89415	Family 	1055
91514	Overall	781
91514	Family 	208
91514	Children's 	10
91534	Overall	3416
91534	Family 	1075
92828	Overall	241
92828	Party 	12
93971	Overall	3473
93971	Family 	953
96713	Overall	2874
96713	Family 	874
97207	Overall	244
97207	Thematic	71
97207	Strategy 	179
98778	Overall	432
98778	Family 	113
100901	Overall	382
100901	Family 	87
100901	Thematic	122
103091	Overall	4109
103091	Family 	1120
103091	Strategy 	1551
103885	Overall	129
103885	War 	53
103885	Customizable	10
104006	Overall	177
104006	Strategy 	134
104162	Overall	141
104162	Thematic	44
104347	Overall	1097
104347	Family 	280
104347	Strategy 	637
105134	Overall	404
105134	Strategy 	286
106753	Overall	6268
106753	Party 	390
107529	Overall	590
107529	Family 	152
107529	Strategy 	424
108745	Overall	240
108745	Strategy 	184
109276	Overall	202
109276	Strategy 	119
112869	Overall	3525
112869	Party 	293
113924	Overall	540
113924	Thematic	171
115233	Overall	3403
115233	Family 	988
117663	Overall	3449
117663	Family 	1026
117985	Overall	1186
117985	Family 	318
117985	Strategy 	744
117995	Overall	4555
117995	Children's 	99
118048	Overall	131
118048	Strategy 	106
118247	Overall	3225
118247	Abstract 	230
118410	Overall	4443
118410	Family 	1257
118410	Children's 	129
118705	Overall	2155
118705	Family 	626
118705	Party 	115
