algorithm,fold,metric,value
random,0,hits@5,0.025309207512597343
random,0,hits@10,0.05084745762711865
random,0,hit_rate@5,0.025080164910673386
random,0,hit_rate@10,0.04938158497480531
random,0,precision@5,0.00506184150251947
random,0,precision@10,0.005084745762711865
random,0,recall@5,0.005808473491361327
random,0,recall@10,0.011479420579560376
random,0,f1@5,0.0047804379516297535
random,0,f1@10,0.0063218515217133816
random,0,mrr@5,0.011587265231333028
random,0,mrr@10,0.014721804128583788
random,0,map@5,0.00265614874171812
random,0,map@10,0.003405966432873188
random,0,ndcg@5,0.006127228678108048
random,0,ndcg@10,0.008260838434265312
random,0,ndcg_burges@5,0.006127228678108048
random,0,ndcg_burges@10,0.008260838434265312
mostpop,0,hits@5,0.4037792029317453
mostpop,0,hits@10,0.6139028859367842
mostpop,0,hit_rate@5,0.273843334860284
mostpop,0,hit_rate@10,0.33612001832340815
mostpop,0,precision@5,0.08075584058634906
mostpop,0,precision@10,0.06139028859367843
mostpop,0,recall@5,0.08180117649165115
mostpop,0,recall@10,0.11788615739699937
mostpop,0,f1@5,0.07153564893087845
mostpop,0,f1@10,0.07209555195832355
mostpop,0,mrr@5,0.19662085814628188
mostpop,0,mrr@10,0.204770757440249
mostpop,0,map@5,0.057100837518537575
mostpop,0,map@10,0.06594315938200349
mostpop,0,ndcg@5,0.11209683970228117
mostpop,0,ndcg@10,0.11637127909172328
mostpop,0,ndcg_burges@5,0.11209683970228117
mostpop,0,ndcg_burges@10,0.11637127909172328
mf,0,hits@5,0.04807604214383875
mf,0,hits@10,0.11488776912505726
mf,0,hit_rate@5,0.04306000916170408
mf,0,hit_rate@10,0.09748053137883646
mf,0,precision@5,0.00961520842876775
mf,0,precision@10,0.011488776912505726
mf,0,recall@5,0.015250796232947037
mf,0,recall@10,0.03554541272274856
mf,0,f1@5,0.010667183759144168
mf,0,f1@10,0.015880643677085554
mf,0,mrr@5,0.01830508474576271
mf,0,mrr@10,0.025279659199150723
mf,0,map@5,0.006799398665553234
mf,0,map@10,0.009761802940648417
mf,0,ndcg@5,0.012641086682650186
mf,0,ndcg@10,0.02107144558905165
mf,0,ndcg_burges@5,0.012641086682650186
mf,0,ndcg_burges@10,0.02107144558905165
puresvd,0,hits@5,0.10904718277599633
puresvd,0,hits@10,0.21912505726065049
puresvd,0,hit_rate@5,0.10430600091617041
puresvd,0,hit_rate@10,0.19867155290884103
puresvd,0,precision@5,0.021809436555199267
puresvd,0,precision@10,0.02191250572606505
puresvd,0,recall@5,0.03478006548723945
puresvd,0,recall@10,0.06900385162096481
puresvd,0,f1@5,0.024354448065500856
puresvd,0,f1@10,0.030635384617717684
puresvd,0,mrr@5,0.04713658573828065
puresvd,0,mrr@10,0.05944743472285845
puresvd,0,map@5,0.015873649002807605
puresvd,0,map@10,0.020785055717872633
puresvd,0,ndcg@5,0.02966972244969362
puresvd,0,ndcg@10,0.04340075429162866
puresvd,0,ndcg_burges@5,0.02966972244969362
puresvd,0,ndcg_burges@10,0.04340075429162866
