algorithm,fold,metric,value,dataset
contextpop,0,hits@5,0.6489166592414387,continuous_metadata
contextpop,0,hits@10,0.6742849505479819,continuous_metadata
contextpop,0,hit_rate@5,0.6412909501321691,continuous_metadata
contextpop,0,hit_rate@10,0.663466393418278,continuous_metadata
contextpop,0,precision@5,0.12978333184828772,continuous_metadata
contextpop,0,precision@10,0.06742849505479818,continuous_metadata
contextpop,0,recall@5,0.6397372211826903,continuous_metadata
contextpop,0,recall@10,0.6634595869593196,continuous_metadata
contextpop,0,f1@5,0.21541408374808538,continuous_metadata
contextpop,0,f1@10,0.12226203744180221,continuous_metadata
contextpop,0,mrr@5,0.5761568505153107,continuous_metadata
contextpop,0,mrr@10,0.5792114729082896,continuous_metadata
contextpop,0,map@5,0.5744991683744691,continuous_metadata
contextpop,0,map@10,0.5780660784589657,continuous_metadata
contextpop,0,ndcg@5,0.5914011704331181,continuous_metadata
contextpop,0,ndcg@10,0.5993399954826806,continuous_metadata
contextpop,0,ndcg_burges@5,0.5914011704331181,continuous_metadata
contextpop,0,ndcg_burges@10,0.5993399954826806,continuous_metadata
contextpop,1,hits@5,0.7405598655750599,continuous_metadata
contextpop,1,hits@10,0.7483929784419577,continuous_metadata
contextpop,1,hit_rate@5,0.71732151156555,continuous_metadata
contextpop,1,hit_rate@10,0.7234385613671303,continuous_metadata
contextpop,1,precision@5,0.14811197311501195,continuous_metadata
contextpop,1,precision@10,0.07483929784419575,continuous_metadata
contextpop,1,recall@5,0.7165268194439479,continuous_metadata
contextpop,1,recall@10,0.7233754007126428,continuous_metadata
contextpop,1,f1@5,0.24447136575126283,continuous_metadata
contextpop,1,f1@10,0.13527198791222247,continuous_metadata
contextpop,1,mrr@5,0.6424635038671004,continuous_metadata
contextpop,1,mrr@10,0.6433829623992648,continuous_metadata
contextpop,1,map@5,0.6419746106086065,continuous_metadata
contextpop,1,map@10,0.6431484326453759,continuous_metadata
contextpop,1,ndcg@5,0.6612751545881952,continuous_metadata
contextpop,1,ndcg@10,0.6636807705023752,continuous_metadata
contextpop,1,ndcg_burges@5,0.6612751545881952,continuous_metadata
contextpop,1,ndcg_burges@10,0.6636807705023752,continuous_metadata
contextpop,2,hits@5,0.7688041532402434,continuous_metadata
contextpop,2,hits@10,0.7834908700322234,continuous_metadata
contextpop,2,hit_rate@5,0.7467669172932331,continuous_metadata
contextpop,2,hit_rate@10,0.75703186537773,continuous_metadata
contextpop,2,precision@5,0.15376083064804869,continuous_metadata
contextpop,2,precision@10,0.07834908700322235,continuous_metadata
contextpop,2,recall@5,0.7447303377491348,continuous_metadata
contextpop,2,recall@10,0.7568211003699724,continuous_metadata
contextpop,2,f1@5,0.2538770281713354,continuous_metadata
contextpop,2,f1@10,0.14159724164128035,continuous_metadata
contextpop,2,mrr@5,0.6441631459601386,continuous_metadata
contextpop,2,mrr@10,0.6456614793787189,continuous_metadata
contextpop,2,map@5,0.6431530721645383,continuous_metadata
contextpop,2,map@10,0.6452823583192674,continuous_metadata
contextpop,2,ndcg@5,0.6695239108563349,continuous_metadata
contextpop,2,ndcg@10,0.6737945402507189,continuous_metadata
contextpop,2,ndcg_burges@5,0.6695239108563349,continuous_metadata
contextpop,2,ndcg_burges@10,0.6737945402507189,continuous_metadata
contextpop,3,hits@5,0.7784567139330616,continuous_metadata
contextpop,3,hits@10,0.8028625351627533,continuous_metadata
contextpop,3,hit_rate@5,0.7574989953499053,continuous_metadata
contextpop,3,hit_rate@10,0.777186549170446,continuous_metadata
contextpop,3,precision@5,0.15569134278661234,continuous_metadata
contextpop,3,precision@10,0.08028625351627533,continuous_metadata
contextpop,3,recall@5,0.755294625600398,continuous_metadata
contextpop,3,recall@10,0.7767658519432804,continuous_metadata
contextpop,3,f1@5,0.2572009548504325,continuous_metadata
contextpop,3,f1@10,0.14514535400493264,continuous_metadata
contextpop,3,mrr@5,0.6303462335189545,continuous_metadata
contextpop,3,mrr@10,0.6330346848610848,continuous_metadata
contextpop,3,map@5,0.6292108503406242,continuous_metadata
contextpop,3,map@10,0.6325298338790564,continuous_metadata
contextpop,3,ndcg@5,0.6616869971845776,continuous_metadata
contextpop,3,ndcg@10,0.6689432207861545,continuous_metadata
contextpop,3,ndcg_burges@5,0.6616869971845776,continuous_metadata
contextpop,3,ndcg_burges@10,0.6689432207861545,continuous_metadata
contextpop,4,hits@5,0.6930535745140755,continuous_metadata
contextpop,4,hits@10,0.7388356783970673,continuous_metadata
contextpop,4,hit_rate@5,0.6796303009564336,continuous_metadata
contextpop,4,hit_rate@10,0.7189108243353582,continuous_metadata
contextpop,4,precision@5,0.1386107149028151,continuous_metadata
contextpop,4,precision@10,0.07388356783970673,continuous_metadata
contextpop,4,recall@5,0.6745841506894025,continuous_metadata
contextpop,4,recall@10,0.71565523441038,continuous_metadata
contextpop,4,f1@5,0.2291909708929011,continuous_metadata
contextpop,4,f1@10,0.13359203550761325,continuous_metadata
contextpop,4,mrr@5,0.5380083277148926,continuous_metadata
contextpop,4,mrr@10,0.5433809740534252,continuous_metadata
contextpop,4,map@5,0.5360414076254945,continuous_metadata
contextpop,4,map@10,0.5422830667932883,continuous_metadata
contextpop,4,ndcg@5,0.5715580368020311,continuous_metadata
contextpop,4,ndcg@10,0.5854031107774754,continuous_metadata
contextpop,4,ndcg_burges@5,0.5715580368020311,continuous_metadata
contextpop,4,ndcg_burges@10,0.5854031107774754,continuous_metadata
