algorithm,fold,metric,value,dataset
contextrandom,0,hits@5,0.5974375538329026,continuous_metadata
contextrandom,0,hits@10,0.6543333630342452,continuous_metadata
contextrandom,0,hit_rate@5,0.5905617927470374,continuous_metadata
contextrandom,0,hit_rate@10,0.6444578098547625,continuous_metadata
contextrandom,0,precision@5,0.11948751076658048,continuous_metadata
contextrandom,0,precision@10,0.06543333630342452,continuous_metadata
contextrandom,0,recall@5,0.5891274862138267,continuous_metadata
contextrandom,0,recall@10,0.6440865484570376,continuous_metadata
contextrandom,0,f1@5,0.19834542938325359,continuous_metadata
contextrandom,0,f1@10,0.11865331113192651,continuous_metadata
contextrandom,0,mrr@5,0.4470360346312632,continuous_metadata
contextrandom,0,mrr@10,0.45455664288000774,continuous_metadata
contextrandom,0,map@5,0.4462058632075005,continuous_metadata
contextrandom,0,map@10,0.4540942370546846,continuous_metadata
contextrandom,0,ndcg@5,0.4825322960584425,continuous_metadata
contextrandom,0,ndcg@10,0.5007865883874233,continuous_metadata
contextrandom,0,ndcg_burges@5,0.4825322960584425,continuous_metadata
contextrandom,0,ndcg_burges@10,0.5007865883874233,continuous_metadata
contextrandom,1,hits@5,0.6189195952951271,continuous_metadata
contextrandom,1,hits@10,0.7093275177862787,continuous_metadata
contextrandom,1,hit_rate@5,0.6052804690572379,continuous_metadata
contextrandom,1,hit_rate@10,0.689199528082657,continuous_metadata
contextrandom,1,precision@5,0.12378391905902536,continuous_metadata
contextrandom,1,precision@10,0.07093275177862786,continuous_metadata
contextrandom,1,recall@5,0.6017465112676224,continuous_metadata
contextrandom,1,recall@10,0.68738145460179,continuous_metadata
contextrandom,1,f1@5,0.20461668916729522,continuous_metadata
contextrandom,1,f1@10,0.12827073668766856,continuous_metadata
contextrandom,1,mrr@5,0.4474331152503187,continuous_metadata
contextrandom,1,mrr@10,0.4590751305348567,continuous_metadata
contextrandom,1,map@5,0.44556923241929136,continuous_metadata
contextrandom,1,map@10,0.4579218859328796,continuous_metadata
contextrandom,1,ndcg@5,0.4852308654548512,continuous_metadata
contextrandom,1,ndcg@10,0.5137318972344894,continuous_metadata
contextrandom,1,ndcg_burges@5,0.4852308654548512,continuous_metadata
contextrandom,1,ndcg_burges@10,0.5137318972344894,continuous_metadata
contextrandom,2,hits@5,0.6395739348370927,continuous_metadata
contextrandom,2,hits@10,0.7373361976369495,continuous_metadata
contextrandom,2,hit_rate@5,0.6275044754744002,continuous_metadata
contextrandom,2,hit_rate@10,0.7179018976011458,continuous_metadata
contextrandom,2,precision@5,0.12791478696741848,continuous_metadata
contextrandom,2,precision@10,0.07373361976369497,continuous_metadata
contextrandom,2,recall@5,0.623281298484306,continuous_metadata
contextrandom,2,recall@10,0.7152919202768827,continuous_metadata
contextrandom,2,f1@5,0.21158951232957682,continuous_metadata
contextrandom,2,f1@10,0.13336154703394232,continuous_metadata
contextrandom,2,mrr@5,0.4614637188208616,continuous_metadata
contextrandom,2,mrr@10,0.47395256991685547,continuous_metadata
contextrandom,2,map@5,0.4591228826033337,continuous_metadata
contextrandom,2,map@10,0.47235096698662765,continuous_metadata
contextrandom,2,ndcg@5,0.5008654602291945,continuous_metadata
contextrandom,2,ndcg@10,0.5314748982163758,continuous_metadata
contextrandom,2,ndcg_burges@5,0.5008654602291945,continuous_metadata
contextrandom,2,ndcg_burges@10,0.5314748982163758,continuous_metadata
contextrandom,3,hits@5,0.6729756300591309,continuous_metadata
contextrandom,3,hits@10,0.7630999196279924,continuous_metadata
contextrandom,3,hit_rate@5,0.6606220219300764,continuous_metadata
contextrandom,3,hit_rate@10,0.7436958206556059,continuous_metadata
contextrandom,3,precision@5,0.13459512601182616,continuous_metadata
contextrandom,3,precision@10,0.07630999196279925,continuous_metadata
contextrandom,3,recall@5,0.6564835213464224,continuous_metadata
contextrandom,3,recall@10,0.740985597623285,continuous_metadata
contextrandom,3,f1@5,0.22271274377003042,continuous_metadata
contextrandom,3,f1@10,0.1380487071341885,continuous_metadata
contextrandom,3,mrr@5,0.4872045850316704,continuous_metadata
contextrandom,3,mrr@10,0.49862213862667726,continuous_metadata
contextrandom,3,map@5,0.4848401789074511,continuous_metadata
contextrandom,3,map@10,0.4969194439489538,continuous_metadata
contextrandom,3,ndcg@5,0.528518722370489,continuous_metadata
contextrandom,3,ndcg@10,0.5565819612429153,continuous_metadata
contextrandom,3,ndcg_burges@5,0.528518722370489,continuous_metadata
contextrandom,3,ndcg_burges@10,0.5565819612429153,continuous_metadata
contextrandom,4,hits@5,0.6582045609315657,continuous_metadata
contextrandom,4,hits@10,0.7344211086228101,continuous_metadata
contextrandom,4,hit_rate@5,0.6460484010313086,continuous_metadata
contextrandom,4,hit_rate@10,0.715360195691136,continuous_metadata
contextrandom,4,precision@5,0.13164091218631313,continuous_metadata
contextrandom,4,precision@10,0.073442110862281,continuous_metadata
contextrandom,4,recall@5,0.6400358225001892,continuous_metadata
contextrandom,4,recall@10,0.7108369274413678,continuous_metadata
contextrandom,4,f1@5,0.21759412750200766,continuous_metadata
contextrandom,4,f1@10,0.1327757520809401,continuous_metadata
contextrandom,4,mrr@5,0.4857572246371164,continuous_metadata
contextrandom,4,mrr@10,0.49542825102015237,continuous_metadata
contextrandom,4,map@5,0.4824816596026774,continuous_metadata
contextrandom,4,map@10,0.49288877857259644,continuous_metadata
contextrandom,4,ndcg@5,0.52290132018921,continuous_metadata
contextrandom,4,ndcg@10,0.546647680810529,continuous_metadata
contextrandom,4,ndcg_burges@5,0.52290132018921,continuous_metadata
contextrandom,4,ndcg_burges@10,0.546647680810529,continuous_metadata
